,Country,ozone_pollution_deaths_1990,ozone_pollution_deaths_2019,ozone_percent_change,ozone_abs_change,particulate_matter_deaths_1990,particulate_matter_deaths_2019,particulate_percent_change,particulate_abs_change,household_air_deaths_1990,household_air_deaths_2019,household_percent_change,household_abs_change,ozone_offender,particulate_offender,household_offender,area_change_perc,forest_offender,mortality_rate,water_offender,degraded_land_perc,desert_offender
58,Kenya,0.32,1.51,3.71875,1.19,13.31,25.33,0.9030803906836962,12.019999999999998,153.99,97.87,-0.36443924930190275,-56.120000000000005,0,0,0,-0.01,0,29.04,0,40,1
59,Kuwait,1.39,1.39,,0.0,90.61,64.06,-0.2930140161130118,-26.549999999999997,1.43,0.02,-0.986013986013986,-1.41,0,0,0,0.0,0,0.79,0,64,1
60,Kyrgyzstan,11.38,5.06,-0.5553602811950791,-6.320000000000001,53.95,62.79,0.16385542168674694,8.839999999999996,114.76,35.11,-0.6940571627744859,-79.65,0,1,0,0.68,0,2.31,0,24,0
61,Latvia,0.51,0.27,-0.47058823529411764,-0.24,75.37,26.41,-0.6495953297067799,-48.96000000000001,15.72,2.42,-0.8460559796437659,-13.3,0,0,0,0.11,0,2.63,0,13,0
62,Lesotho,2.16,4.52,1.0925925925925921,2.3599999999999994,29.61,67.92,1.2938196555217831,38.31,180.27,133.44,-0.2597770011649193,-46.83000000000001,0,1,0,0.0,0,108.06,1,20,0
63,Liberia,0.22,1.06,3.8181818181818183,0.8400000000000001,24.5,30.41,0.24122448979591837,5.91,239.61,122.11,-0.49038020116021874,-117.50000000000001,0,0,0,-0.39,0,34.62,0,29,0
64,Lithuania,1.18,0.25,-0.788135593220339,-0.9299999999999999,56.43,20.62,-0.6345915293283715,-35.81,10.68,0.98,-0.9082397003745318,-9.7,0,0,0,0.14,0,2.61,0,3,0
65,Luxembourg,1.31,1.08,-0.17557251908396942,-0.22999999999999998,38.77,8.53,-0.779984524116585,-30.240000000000002,0.23,0.02,-0.9130434782608696,-0.21000000000000002,0,0,0,0.0,0,1.88,0,4,0
66,Madagascar,0.18,1.31,6.277777777777779,1.1300000000000001,11.31,19.47,0.7214854111405833,8.159999999999998,252.65,181.01,-0.28355432416386306,-71.64000000000001,0,0,1,-0.11,0,40.06,0,30,0
67,Malawi,0.46,1.16,1.5217391304347823,0.7,10.19,15.46,0.5171736997055938,5.270000000000001,236.69,141.9,-0.40048164265494945,-94.78999999999999,0,0,0,-1.7,1,30.81,0,17,0
68,Malaysia,0.98,1.59,0.6224489795918369,0.6100000000000001,79.85,43.64,-0.45347526612398237,-36.209999999999994,9.43,0.46,-0.9512195121951219,-8.969999999999999,0,0,0,0.09,0,14.41,0,16,0
69,Mali,1.12,2.44,1.1785714285714284,1.3199999999999998,15.48,23.76,0.5348837209302326,8.280000000000001,238.05,156.12,-0.3441713925645873,-81.93,0,0,1,0.0,0,66.12,1,3,0
70,Mauritania,0.69,0.99,0.43478260869565233,0.30000000000000004,47.08,64.87,0.3778674596431608,17.790000000000006,182.53,53.99,-0.7042130060811922,-128.54,0,1,0,-1.59,1,37.79,0,3,0
71,Mauritius,0.1,0.0,-1.0,-0.1,52.36,36.99,-0.29354469060351407,-15.369999999999997,21.62,0.88,-0.9592969472710453,-20.740000000000002,0,0,0,0.1,0,5.47,0,27,0
72,Mexico,6.15,2.2,-0.6422764227642277,-3.95,47.62,33.08,-0.30533389332213356,-14.54,34.6,9.0,-0.7398843930635839,-25.6,0,0,0,-0.19,0,3.54,0,47,1
73,Moldova,4.35,0.67,-0.8459770114942529,-3.6799999999999997,68.55,37.01,-0.4601021152443472,-31.54,84.84,4.99,-0.9411834040546911,-79.85000000000001,0,0,0,0.32,0,3.57,0,29,0
74,Mongolia,3.3,1.32,-0.6,-1.9799999999999998,62.58,106.76,0.7059763502716525,44.18000000000001,194.2,49.0,-0.7476828012358393,-145.2,0,1,0,-0.01,0,3.16,0,13,0
75,Montenegro,0.88,0.74,-0.15909090909090906,-0.14,74.08,59.29,-0.19964902807775375,-14.79,33.75,17.73,-0.4746666666666667,-16.02,0,0,0,0.0,0,1.83,0,6,0
76,Morocco,1.19,2.7,1.2689075630252105,1.5100000000000002,50.53,97.39,0.9273698792796359,46.86,75.86,6.06,-0.9201160031637227,-69.8,0,1,0,0.12,0,4.55,0,19,0
77,Myanmar,3.81,5.42,0.42257217847769035,1.6099999999999999,39.69,58.3,0.4688838498362309,18.61,317.52,119.72,-0.6229528848576468,-197.79999999999998,1,1,0,-0.96,0,12.9,0,23,0
78,Namibia,3.74,3.17,-0.15240641711229952,-0.5700000000000003,39.42,57.48,0.45814307458143055,18.059999999999995,166.44,56.27,-0.6619202114876231,-110.16999999999999,0,1,0,-1.01,0,28.81,0,19,0
79,Niger,2.41,2.77,0.14937759336099576,0.3599999999999999,20.61,23.5,0.14022319262493932,2.8900000000000006,316.35,199.51,-0.36933775881144315,-116.84000000000003,0,0,1,-1.08,0,70.26,1,7,0
80,Nigeria,2.08,2.58,0.24038461538461542,0.5,31.98,59.12,0.8486554096310193,27.139999999999997,205.41,83.23,-0.5948103792415169,-122.17999999999999,0,1,0,-0.73,0,71.73,1,32,0
81,Oman,3.28,2.63,-0.19817073170731703,-0.6499999999999999,107.81,127.02,0.17818384194416104,19.209999999999994,104.25,0.51,-0.9951079136690647,-103.74,0,1,0,-1.81,1,1.6,0,7,0
82,Pakistan,11.54,13.93,0.20710571923743504,2.3900000000000006,35.99,94.42,1.6235065295915532,58.43,203.77,92.63,-0.5454188545909604,-111.14000000000001,1,1,0,-0.94,0,38.8,0,5,0
83,Panama,0.77,0.5,-0.35064935064935066,-0.27,20.72,15.52,-0.2509652509652509,-5.199999999999999,28.75,3.67,-0.8723478260869565,-25.08,0,0,0,-0.27,0,4.24,0,14,0
84,Papua New Guinea,0.12,0.06,-0.5,-0.06,16.93,24.62,0.45422327229769643,7.690000000000001,281.95,229.52,-0.1859549565525802,-52.42999999999998,0,0,1,-0.09,0,24.88,0,21,0
85,Paraguay,0.58,1.06,0.827586206896552,0.4800000000000001,15.93,19.44,0.22033898305084754,3.5100000000000016,69.79,22.24,-0.681329703395902,-47.55000000000001,0,0,0,-1.93,1,4.65,0,52,1
86,Philippines,0.31,0.19,-0.3870967741935484,-0.12,36.04,43.93,0.21892341842397345,7.890000000000001,97.47,60.88,-0.375397558223043,-36.589999999999996,0,0,0,0.5,0,16.87,0,38,1
87,Poland,1.67,0.89,-0.46706586826347307,-0.7799999999999999,90.29,38.74,-0.5709380883818806,-51.550000000000004,32.88,3.9,-0.8813868613138687,-28.980000000000004,0,0,0,0.16,0,5.4,0,5,0
88,Portugal,1.07,1.0,-0.06542056074766356,-0.07000000000000006,29.49,7.73,-0.7378772465242455,-21.759999999999998,4.52,0.12,-0.9734513274336283,-4.3999999999999995,0,0,0,0.18,0,6.76,0,32,0
89,Romania,5.08,0.37,-0.9271653543307087,-4.71,72.16,38.56,-0.46563192904656314,-33.599999999999994,53.49,6.4,-0.8803514675640307,-47.09,0,0,0,0.62,0,7.2,0,2,0
90,Russia,2.16,0.55,-0.7453703703703703,-1.61,71.49,31.8,-0.5551825430130088,-39.69,8.39,1.05,-0.8748510131108462,-7.340000000000001,0,0,0,0.0,0,3.25,0,6,0
91,Rwanda,2.25,3.16,0.4044444444444446,0.9100000000000001,25.89,29.25,0.12977983777520286,3.3599999999999994,285.17,122.67,-0.5698355366974086,-162.5,0,0,0,0.41,0,25.0,0,12,0
92,Saudi Arabia,3.83,2.89,-0.2454308093994778,-0.94,77.31,109.84,0.4207735092484801,32.53,76.89,0.23,-0.9970087137469111,-76.66,0,1,0,0.0,0,1.93,0,4,0
93,Senegal,0.99,1.63,0.6464646464646464,0.6399999999999999,28.52,41.5,0.45511921458625526,12.98,186.89,108.58,-0.41901653378992987,-78.30999999999999,0,0,0,-0.48,0,31.75,0,6,0
94,Serbia,2.75,0.73,-0.7345454545454546,-2.02,92.88,69.45,-0.25226098191214463,-23.429999999999993,69.15,12.9,-0.8134490238611713,-56.25000000000001,0,0,0,0.04,0,3.86,0,6,0
95,Seychelles,0.06,0.44,6.333333333333334,0.38,41.0,34.81,-0.15097560975609747,-6.189999999999998,9.28,0.37,-0.9601293103448276,-8.91,0,0,0,0.0,0,8.35,0,12,0
96,Sierra Leone,0.95,1.69,0.7789473684210526,0.74,25.48,34.3,0.34615384615384603,8.819999999999997,273.37,168.27,-0.38446062113618906,-105.1,0,0,1,-0.75,0,69.54,1,18,0
97,Slovakia,1.33,0.84,-0.368421052631579,-0.4900000000000001,99.59,38.31,-0.6153228235766643,-61.28,3.58,0.38,-0.8938547486033519,-3.2,0,0,0,0.04,0,3.62,0,4,0
